t,x1,y1,z1,x2,y2,z2,x3,y3,z3
121,26595877.63626775,468287.04516912927,0.0,-468287.04516912927,26595877.63626775,0.0,0.0,-468287.04516912927,26595877.63626775
122,26595809.218257878,472156.7811962276,0.0,-472156.7811962276,26595809.218257878,0.0,0.0,-472156.7811962276,26595809.218257878
123,26595740.237196203,476026.50722743804,0.0,-476026.50722743804,26595740.237196203,0.0,0.0,-476026.50722743804,26595740.237196203
124,26595670.693084188,479896.22318083583,0.0,-479896.22318083583,26595670.693084188,0.0,0.0,-479896.22318083583,26595670.693084188
125,26595600.585923303,483765.9289744964,0.0,-483765.9289744964,26595600.585923303,0.0,0.0,-483765.9289744964,26595600.585923303
126,26595529.91571503,487635.6245264953,0.0,-487635.6245264953,26595529.91571503,0.0,0.0,-487635.6245264953,26595529.91571503
127,26595458.68246087,491505.30975490843,0.0,-491505.30975490843,26595458.68246087,0.0,0.0,-491505.30975490843,26595458.68246087
128,26595386.88616233,495374.9845778119,0.0,-495374.9845778119,26595386.88616233,0.0,0.0,-495374.9845778119,26595386.88616233
129,26595314.526820924,499244.64891328197,0.0,-499244.64891328197,26595314.526820924,0.0,0.0,-499244.64891328197,26595314.526820924
130,26595241.60443819,503114.3026793951,0.0,-503114.3026793951,26595241.60443819,0.0,0.0,-503114.3026793951,26595241.60443819
131,26595168.11901567,506983.9457942282,0.0,-506983.9457942282,26595168.11901567,0.0,0.0,-506983.9457942282,26595168.11901567
132,26595094.070554923,510853.578175858,0.0,-510853.578175858,26595094.070554923,0.0,0.0,-510853.578175858,26595094.070554923
133,26595019.45905751,514723.19974236184,0.0,-514723.19974236184,26595019.45905751,0.0,0.0,-514723.19974236184,26595019.45905751
134,26594944.284525014,518592.8104118171,0.0,-518592.8104118171,26594944.284525014,0.0,0.0,-518592.8104118171,26594944.284525014
135,26594868.546959028,522462.4101023014,0.0,-522462.4101023014,26594868.546959028,0.0,0.0,-522462.4101023014,26594868.546959028
136,26594792.246361155,526331.9987318927,0.0,-526331.9987318927,26594792.246361155,0.0,0.0,-526331.9987318927,26594792.246361155
137,26594715.38273301,530201.576218669,0.0,-530201.576218669,26594715.38273301,0.0,0.0,-530201.576218669,26594715.38273301
138,26594637.95607622,534071.1424807087,0.0,-534071.1424807087,26594637.95607622,0.0,0.0,-534071.1424807087,26594637.95607622
139,26594559.966392424,537940.6974360903,0.0,-537940.6974360903,26594559.966392424,0.0,0.0,-537940.6974360903,26594559.966392424
140,26594481.413683273,541810.2410028928,0.0,-541810.2410028928,26594481.413683273,0.0,0.0,-541810.2410028928,26594481.413683273
141,26594402.297950428,545679.7730991952,0.0,-545679.7730991952,26594402.297950428,0.0,0.0,-545679.7730991952,26594402.297950428
142,26594322.61919557,549549.2936430768,0.0,-549549.2936430768,26594322.61919557,0.0,0.0,-549549.2936430768,26594322.61919557
143,26594242.377420377,553418.802552617,0.0,-553418.802552617,26594242.377420377,0.0,0.0,-553418.802552617,26594242.377420377
144,26594161.572626553,557288.2997458959,0.0,-557288.2997458959,26594161.572626553,0.0,0.0,-557288.2997458959,26594161.572626553
145,26594080.204815812,561157.7851409933,0.0,-561157.7851409933,26594080.204815812,0.0,0.0,-561157.7851409933,26594080.204815812
146,26593998.27398987,565027.2586559897,0.0,-565027.2586559897,26593998.27398987,0.0,0.0,-565027.2586559897,26593998.27398987
